#  Steps           Rx_A           Rx_B           Epot           Temp           Ekin           Etot
       0      -0.000000     -19.998800  -12727.461278       0.060000     180.000866  -12547.460412
      10      -0.000000     -19.986800  -12727.562746       0.060034     180.102319  -12547.460427
      20      -0.000000     -19.974800  -12727.812335       0.060117     180.351881  -12547.460454
      30      -0.000000     -19.962800  -12728.170586       0.060237     180.710113  -12547.460472
      40      -0.000000     -19.950800  -12728.609045       0.060383     181.148568  -12547.460477
      50      -0.000000     -19.938800  -12729.119947       0.060553     181.659469  -12547.460478
      60      -0.000000     -19.926800  -12729.702159       0.060747     182.241674  -12547.460485
      70      -0.000000     -19.914800  -12730.344727       0.060961     182.884224  -12547.460503
      80      -0.000000     -19.902800  -12731.023900       0.061188     183.563381  -12547.460519
      90      -0.000000     -19.890800  -12731.711132       0.061417     184.250595  -12547.460538
     100      -0.000000     -19.878800  -12732.380519       0.061640     184.919972  -12547.460547
     110      -0.000000     -19.866800  -12733.009718       0.061850     185.549160  -12547.460558
     120      -0.000000     -19.854800  -12733.580187       0.062040     186.119607  -12547.460580
     130      -0.000000     -19.842800  -12734.074978       0.062205     186.614370  -12547.460607
     140      -0.000000     -19.830800  -12734.478499       0.062339     187.017877  -12547.460621
     150      -0.000000     -19.818800  -12734.776857       0.062439     187.316242  -12547.460615
     160      -0.000000     -19.806800  -12734.963607       0.062501     187.502987  -12547.460620
     170      -0.000000     -19.794800  -12735.038675       0.062526     187.578067  -12547.460607
     180      -0.000000     -19.782800  -12734.999946       0.062513     187.539323  -12547.460622
     190      -0.000000     -19.770800  -12734.847541       0.062462     187.386918  -12547.460623
     200      -0.000000     -19.758800  -12734.584437       0.062375     187.123818  -12547.460618
     210      -0.000000     -19.746800  -12734.218725       0.062253     186.758116  -12547.460609
     220      -0.000000     -19.734800  -12733.764492       0.062101     186.303890  -12547.460602
     230      -0.000000     -19.722800  -12733.237757       0.061926     185.777161  -12547.460597
     240      -0.000000     -19.710800  -12732.654789       0.061731     185.194205  -12547.460584
     250      -0.000000     -19.698800  -12732.031548       0.061524     184.570975  -12547.460574
     260      -0.000000     -19.686800  -12731.388536       0.061309     183.927980  -12547.460556
     270      -0.000000     -19.674800  -12730.747116       0.061096     183.286572  -12547.460544
     280      -0.000000     -19.662800  -12730.126914       0.060889     182.666386  -12547.460529
     290      -0.000000     -19.650800  -12729.545921       0.060695     182.085408  -12547.460514
     300      -0.000000     -19.638800  -12729.021396       0.060520     181.560886  -12547.460511
     310      -0.000000     -19.626800  -12728.570093       0.060370     181.109591  -12547.460502
     320      -0.000000     -19.614800  -12728.205980       0.060248     180.745474  -12547.460505
     330      -0.000000     -19.602800  -12727.938438       0.060159     180.477936  -12547.460502
     340      -0.000000     -19.590800  -12727.773895       0.060104     180.313392  -12547.460503
     350      -0.000000     -19.578800  -12727.717099       0.060086     180.256598  -12547.460501
     360      -0.000000     -19.566800  -12727.770785       0.060103     180.310284  -12547.460501
     370      -0.000000     -19.554800  -12727.933470       0.060158     180.472965  -12547.460505
     380      -0.000000     -19.542800  -12728.198430       0.060246     180.737917  -12547.460513
     390      -0.000000     -19.530800  -12728.555609       0.060365     181.095091  -12547.460518
     400      -0.000000     -19.518800  -12728.994386       0.060511     181.533863  -12547.460522
     410      -0.000000     -19.506800  -12729.503277       0.060681     182.042749  -12547.460527
     420      -0.000000     -19.494800  -12730.068895       0.060869     182.608354  -12547.460540
     430      -0.000000     -19.482800  -12730.673868       0.061071     183.213311  -12547.460557
     440      -0.000000     -19.470800  -12731.298795       0.061279     183.838234  -12547.460561
     450      -0.000000     -19.458800  -12731.924118       0.061488     184.463534  -12547.460584
     460      -0.000000     -19.446800  -12732.528715       0.061689     185.068125  -12547.460590
     470      -0.000000     -19.434800  -12733.092696       0.061877     185.632100  -12547.460597
     480      -0.000000     -19.422800  -12733.597850       0.062046     186.137234  -12547.460616
     490      -0.000000     -19.410800  -12734.030932       0.062190     186.570318  -12547.460614
     500      -0.000000     -19.398800  -12734.380258       0.062307     186.919635  -12547.460623
     510      -0.000000     -19.386800  -12734.635706       0.062392     187.175087  -12547.460619
     520      -0.000000     -19.374800  -12734.788628       0.062443     187.327997  -12547.460631
     530      -0.000000     -19.362800  -12734.831210       0.062457     187.370598  -12547.460612
     540      -0.000000     -19.350800  -12734.764868       0.062435     187.304248  -12547.460621
     550      -0.000000     -19.338800  -12734.593637       0.062378     187.133025  -12547.460612
     560      -0.000000     -19.326800  -12734.319402       0.062286     186.858789  -12547.460613
     570      -0.000000     -19.314800  -12733.945158       0.062162     186.484565  -12547.460593
     580      -0.000000     -19.302800  -12733.481631       0.062007     186.021060  -12547.460572
     590      -0.000000     -19.290800  -12732.943395       0.061828     185.482840  -12547.460555
     600      -0.000000     -19.278800  -12732.351163       0.061630     184.890613  -12547.460550
     610      -0.000000     -19.266800  -12731.726921       0.061422     184.266378  -12547.460543
     620      -0.000000     -19.254800  -12731.090547       0.061210     183.630015  -12547.460532
     630      -0.000000     -19.242800  -12730.461734       0.061000     183.001220  -12547.460513
     640      -0.000000     -19.230800  -12729.861991       0.060800     182.401480  -12547.460511
     650      -0.000000     -19.218800  -12729.312603       0.060617     181.852103  -12547.460500
     660      -0.000000     -19.206800  -12728.832355       0.060457     181.371868  -12547.460487
     670      -0.000000     -19.194800  -12728.438134       0.060326     180.977654  -12547.460480
     680      -0.000000     -19.182800  -12728.143835       0.060228     180.683362  -12547.460474
     690      -0.000000     -19.170800  -12727.959474       0.060166     180.499006  -12547.460469
     700      -0.000000     -19.158800  -12727.891078       0.060144     180.430609  -12547.460469
     710      -0.000000     -19.146800  -12727.940994       0.060160     180.480524  -12547.460470
     720      -0.000000     -19.134800  -12728.107410       0.060216     180.646936  -12547.460474
     730      -0.000000     -19.122800  -12728.382896       0.060307     180.922414  -12547.460482
     740      -0.000000     -19.110800  -12728.755071       0.060432     181.294581  -12547.460491
     750      -0.000000     -19.098800  -12729.209421       0.060583     181.748920  -12547.460501
     760      -0.000000     -19.086800  -12729.730814       0.060757     182.270301  -12547.460513
     770      -0.000000     -19.074800  -12730.302755       0.060947     182.842236  -12547.460519
     780      -0.000000     -19.062800  -12730.907134       0.061149     183.446603  -12547.460530
     790      -0.000000     -19.050800  -12731.523655       0.061354     184.063113  -12547.460542
     800      -0.000000     -19.038800  -12732.132055       0.061557     184.671495  -12547.460560
     810      -0.000000     -19.026800  -12732.712257       0.061751     185.251681  -12547.460576
     820      -0.000000     -19.014800  -12733.243974       0.061928     185.783374  -12547.460600
     830      -0.000000     -19.002800  -12733.710097       0.062083     186.249496  -12547.460601
     840      -0.000000     -18.990800  -12734.097166       0.062212     186.636553  -12547.460612
     850      -0.000000     -18.978800  -12734.395688       0.062312     186.935074  -12547.460614
     860      -0.000000     -18.966800  -12734.597180       0.062379     187.136565  -12547.460615
     870      -0.000000     -18.954800  -12734.693966       0.062411     187.233351  -12547.460614
     880      -0.000000     -18.942800  -12734.685076       0.062408     187.224465  -12547.460610
     890      -0.000000     -18.930800  -12734.571622       0.062370     187.111014  -12547.460608
     900      -0.000000     -18.918800  -12734.358102       0.062299     186.897499  -12547.460603
     910      -0.000000     -18.906800  -12734.051032       0.062197     186.590444  -12547.460588
     920      -0.000000     -18.894800  -12733.660401       0.062067     186.199844  -12547.460557
     930      -0.000000     -18.882800  -12733.199848       0.061913     185.739306  -12547.460542
     940      -0.000000     -18.870800  -12732.685024       0.061742     185.224500  -12547.460523
     950      -0.000000     -18.858800  -12732.132121       0.061557     184.671586  -12547.460535
     960      -0.000000     -18.846800  -12731.556580       0.061365     184.096056  -12547.460524
     970      -0.000000     -18.834800  -12730.975643       0.061172     183.515128  -12547.460515
     980      -0.000000     -18.822800  -12730.407946       0.060982     182.947452  -12547.460495
     990      -0.000000     -18.810800  -12729.871528       0.060804     182.411044  -12547.460484
    1000      -0.000000     -18.798800  -12729.383306       0.060641     181.922833  -12547.460473
    1010      -0.000000     -18.786800  -12728.957106       0.060499     181.496643  -12547.460463
    1020      -0.000000     -18.774800  -12728.604903       0.060381     181.144448  -12547.460456
    1030      -0.000000     -18.762800  -12728.337236       0.060292     180.876786  -12547.460449
    1040      -0.000000     -18.750800  -12728.161172       0.060234     180.700727  -12547.460445
    1050      -0.000000     -18.738800  -12728.080466       0.060207     180.620025  -12547.460441
    1060      -0.000000     -18.726800  -12728.096642       0.060212     180.636205  -12547.460437
