#  Steps             Rx             Rg           Epot           Temp           Ekin           Etot
       0      -0.000000       4.679885   -6363.730750       0.000000       0.000433   -6363.730317
      10      -0.000000       4.679981   -6363.781464       0.000034       0.051140   -6363.730324
      20      -0.000000       4.680237   -6363.906226       0.000117       0.175889   -6363.730338
      30      -0.000000       4.680650   -6364.085339       0.000237       0.354992   -6363.730346
      40      -0.000000       4.681217   -6364.304575       0.000383       0.574226   -6363.730348
      50      -0.000000       4.681932   -6364.560038       0.000553       0.829689   -6363.730349
      60      -0.000000       4.682789   -6364.851154       0.000747       1.120804   -6363.730351
      70      -0.000000       4.683779   -6365.172449       0.000961       1.442088   -6363.730361
      80      -0.000000       4.684896   -6365.512038       0.001188       1.781668   -6363.730370
      90      -0.000000       4.686127   -6365.855637       0.001417       2.125260   -6363.730378
     100      -0.000000       4.687463   -6366.190309       0.001640       2.459930   -6363.730379
     110      -0.000000       4.688890   -6366.504910       0.001850       2.774522   -6363.730388
     120      -0.000000       4.690398   -6366.790158       0.002040       3.059757   -6363.730401
     130      -0.000000       4.691973   -6367.037553       0.002205       3.307134   -6363.730419
     140      -0.000000       4.693601   -6367.239287       0.002339       3.508856   -6363.730431
     150      -0.000000       4.695269   -6367.388450       0.002439       3.658019   -6363.730430
     160      -0.000000       4.696963   -6367.481836       0.002501       3.751398   -6363.730438
     170      -0.000000       4.698670   -6367.519385       0.002526       3.788948   -6363.730436
     180      -0.000000       4.700377   -6367.500022       0.002513       3.769579   -6363.730444
     190      -0.000000       4.702070   -6367.423818       0.002462       3.693382   -6363.730437
     200      -0.000000       4.703737   -6367.292269       0.002375       3.561829   -6363.730440
     210      -0.000000       4.705365   -6367.109422       0.002253       3.378982   -6363.730440
     220      -0.000000       4.706943   -6366.882298       0.002101       3.151861   -6363.730437
     230      -0.000000       4.708459   -6366.618900       0.001926       2.888471   -6363.730429
     240      -0.000000       4.709901   -6366.327404       0.001731       2.596982   -6363.730423
     250      -0.000000       4.711260   -6366.015815       0.001524       2.285398   -6363.730417
     260      -0.000000       4.712525   -6365.694363       0.001309       1.963959   -6363.730404
     270      -0.000000       4.713687   -6365.373679       0.001096       1.643279   -6363.730400
     280      -0.000000       4.714737   -6365.063562       0.000889       1.333168   -6363.730394
     290      -0.000000       4.715668   -6364.773037       0.000695       1.042651   -6363.730386
     300      -0.000000       4.716473   -6364.510767       0.000520       0.780381   -6363.730386
     310      -0.000000       4.717146   -6364.285126       0.000370       0.554742   -6363.730385
     320      -0.000000       4.717681   -6364.103075       0.000248       0.372688   -6363.730387
     330      -0.000000       4.718076   -6363.969295       0.000159       0.238910   -6363.730385
     340      -0.000000       4.718325   -6363.887018       0.000104       0.156633   -6363.730386
     350      -0.000000       4.718429   -6363.858630       0.000085       0.128245   -6363.730385
     360      -0.000000       4.718386   -6363.885483       0.000103       0.155098   -6363.730385
     370      -0.000000       4.718196   -6363.966819       0.000158       0.236432   -6363.730387
     380      -0.000000       4.717862   -6364.099280       0.000246       0.368889   -6363.730390
     390      -0.000000       4.717385   -6364.277860       0.000365       0.547466   -6363.730394
     400      -0.000000       4.716769   -6364.497266       0.000511       0.766870   -6363.730395
     410      -0.000000       4.716020   -6364.751739       0.000681       1.021341   -6363.730398
     420      -0.000000       4.715142   -6365.034562       0.000869       1.304158   -6363.730404
     430      -0.000000       4.714144   -6365.337039       0.001071       1.606625   -6363.730414
     440      -0.000000       4.713032   -6365.649482       0.001279       1.919067   -6363.730415
     450      -0.000000       4.711815   -6365.962130       0.001488       2.231700   -6363.730431
     460      -0.000000       4.710504   -6366.264422       0.001689       2.533986   -6363.730436
     470      -0.000000       4.709108   -6366.546406       0.001877       2.815962   -6363.730444
     480      -0.000000       4.707638   -6366.798992       0.002046       3.068538   -6363.730453
     490      -0.000000       4.706106   -6367.015544       0.002190       3.285088   -6363.730456
     500      -0.000000       4.704524   -6367.190218       0.002307       3.459757   -6363.730461
     510      -0.000000       4.702904   -6367.317936       0.002392       3.587476   -6363.730460
     520      -0.000000       4.701259   -6367.394382       0.002443       3.663920   -6363.730462
     530      -0.000000       4.699603   -6367.415657       0.002457       3.685214   -6363.730443
     540      -0.000000       4.697949   -6367.382475       0.002435       3.652027   -6363.730448
     550      -0.000000       4.696309   -6367.296858       0.002378       3.566417   -6363.730441
     560      -0.000000       4.694698   -6367.159749       0.002286       3.429309   -6363.730440
     570      -0.000000       4.693128   -6366.972646       0.002161       3.242217   -6363.730429
     580      -0.000000       4.691611   -6366.740895       0.002007       3.010484   -6363.730411
     590      -0.000000       4.690161   -6366.471762       0.001828       2.741359   -6363.730403
     600      -0.000000       4.688790   -6366.175629       0.001630       2.445226   -6363.730403
     610      -0.000000       4.687508   -6365.863514       0.001422       2.133113   -6363.730401
     620      -0.000000       4.686326   -6365.545363       0.001210       1.814967   -6363.730396
     630      -0.000000       4.685255   -6365.230980       0.001000       1.500595   -6363.730385
