#Cycle	Epot	P

 1	-243.718319	0.000000
 2	-243.142918	0.000000
 3	-242.613179	0.000000
 4	-242.045280	0.000000
 5	-241.628998	0.000000
 6	-241.776270	0.000000
 7	-241.899087	0.000000
 8	-241.702563	0.000000
 9	-240.991879	0.000000
 10	-240.714185	0.000000
 11	-240.482159	0.000000
 12	-240.470317	0.000000
 13	-240.814838	0.000000
 14	-240.721053	0.000000
 15	-240.484708	0.000000
 16	-240.263685	0.000000
 17	-240.358202	0.000000
 18	-240.425033	0.000000
 19	-240.277002	0.000000
 20	-240.243578	0.000000
 21	-240.726682	0.000000
 22	-241.032413	0.000000
 23	-241.173636	0.000000
 24	-241.204514	0.000000
 25	-241.406650	0.000000
 26	-241.573211	0.000000
 27	-241.773818	0.000000
 28	-241.799697	0.000000
 29	-241.795946	0.000000
 30	-241.876569	0.000000
 31	-241.814314	0.000000
 32	-241.846908	0.000000
 33	-241.107892	0.000000
 34	-241.102731	0.000000
 35	-241.608117	0.000000
 36	-241.835586	0.000000
 37	-242.132056	0.000000
 38	-242.403583	0.000000
 39	-242.792026	0.000000
 40	-242.885899	0.000000
 41	-243.051424	0.000000
 42	-243.414004	0.000000
 43	-243.694383	0.000000
 44	-243.854253	0.000000
 45	-243.957772	0.000000
 46	-244.283937	0.000000
 47	-244.564699	0.000000
 48	-244.889691	0.000000
 49	-244.817105	0.000000
 50	-244.992448	0.000000
 51	-244.909590	0.000000
 52	-244.962232	0.000000
 53	-245.383454	0.000000
 54	-245.505176	0.000000
 55	-245.788043	0.000000
 56	-246.433371	0.000000
 57	-246.181886	0.000000
 58	-246.205724	0.000000
 59	-246.159277	0.000000
 60	-246.773706	0.000000
 61	-247.010185	0.000000
 62	-247.447755	0.000000
 63	-248.008943	0.000000
 64	-247.955110	0.000000
 65	-248.551056	0.000000
 66	-249.220314	0.000000
 67	-249.979810	0.000000
 68	-250.200455	0.000000
 69	-250.742578	0.000000
 70	-251.103962	0.000000
 71	-252.334051	0.000000
 72	-252.897512	0.000000
 73	-254.076054	0.000000
 74	-254.946949	0.000000
 75	-255.243864	0.000000
 76	-256.149780	0.000000
 77	-257.056001	0.000000
 78	-257.494539	0.000000
 79	-257.536325	0.000000
 80	-257.996300	0.000000
 81	-258.379755	0.000000
 82	-258.806031	0.000000
 83	-259.239133	0.000000
 84	-259.840082	0.000000
 85	-261.071323	0.000000
 86	-261.982436	0.000000
 87	-262.968617	0.000000
 88	-263.178203	0.000000
 89	-263.422682	0.000000
 90	-264.254896	0.000000
 91	-264.377436	0.000000
 92	-264.556402	0.000000
 93	-264.984419	0.000000
 94	-265.044031	0.000000
 95	-265.293090	0.000000
 96	-265.559153	0.000000
 97	-266.048134	0.000000
 98	-266.237426	0.000000
 99	-266.418374	0.000000
 100	-266.547796	0.000000
 101	-267.026719	0.000000
 102	-267.426989	0.000000
 103	-268.092135	0.000000
 104	-268.538189	0.000000
 105	-268.604578	0.000000
 106	-269.027131	0.000000
 107	-269.226213	0.000000
 108	-268.981093	0.000000
 109	-268.771195	0.000000
 110	-268.361091	0.000000
 111	-268.128032	0.000000
 112	-268.508717	0.000000
 113	-269.294984	0.000000
 114	-269.594408	0.000000
 115	-270.067637	0.000000
 116	-270.603698	0.000000
 117	-270.599484	0.000000
 118	-270.439097	0.000000
 119	-270.321928	0.000000
 120	-270.295200	0.000000
 121	-270.685062	0.000000
 122	-270.751832	0.000000
 123	-270.398675	0.000000
 124	-270.649106	0.000000
 125	-270.557625	0.000000
 126	-270.879523	0.000000
 127	-271.043484	0.000000
 128	-270.906059	0.000000
 129	-271.105867	0.000000
 130	-271.192806	0.000000
 131	-271.217968	0.000000
 132	-271.548483	0.000000
 133	-271.698051	0.000000
 134	-271.635197	0.000000
 135	-271.682179	0.000000
 136	-271.960668	0.000000
 137	-272.019358	0.000000
 138	-271.828274	0.000000
 139	-271.965044	0.000000
 140	-271.838981	0.000000
 141	-271.796420	0.000000
 142	-271.732140	0.000000
 143	-271.665986	0.000000
 144	-272.232224	0.000000
 145	-272.176621	0.000000
 146	-271.983483	0.000000
 147	-271.978348	0.000000
 148	-272.264430	0.000000
 149	-272.666103	0.000000
 150	-272.659570	0.000000
 151	-272.719412	0.000000
 152	-272.732489	0.000000
 153	-272.509322	0.000000
 154	-272.476202	0.000000
 155	-272.473461	0.000000
 156	-271.862252	0.000000
 157	-271.520629	0.000000
 158	-271.944409	0.000000
 159	-271.957226	0.000000
 160	-272.227846	0.000000
 161	-272.614213	0.000000
 162	-272.786590	0.000000
 163	-272.617697	0.000000
 164	-272.582859	0.000000
 165	-272.655358	0.000000
 166	-272.627070	0.000000
 167	-272.876533	0.000000
 168	-273.119208	0.000000
 169	-273.341858	0.000000
 170	-273.422519	0.000000
 171	-273.372813	0.000000
 172	-272.808823	0.000000
 173	-272.959673	0.000000
 174	-273.372954	0.000000
 175	-273.430350	0.000000
 176	-273.408969	0.000000
 177	-273.301695	0.000000
 178	-273.309369	0.000000
 179	-273.282524	0.000000
 180	-273.125053	0.000000
 181	-272.799369	0.000000
 182	-272.777953	0.000000
 183	-272.856126	0.000000
 184	-273.210627	0.000000
 185	-273.291887	0.000000
 186	-273.484765	0.000000
 187	-273.610121	0.000000
 188	-273.534722	0.000000
 189	-273.556813	0.000000
 190	-273.731179	0.000000
 191	-273.689165	0.000000
 192	-273.835841	0.000000
 193	-273.769242	0.000000
 194	-273.697497	0.000000
 195	-273.939455	0.000000
 196	-274.158136	0.000000
 197	-274.067024	0.000000
 198	-273.916121	0.000000
 199	-273.837080	0.000000
 200	-273.984801	0.000000
 201	-274.224874	0.000000
 202	-274.362172	0.000000
 203	-273.948818	0.000000
 204	-274.048893	0.000000
 205	-273.888881	0.000000
 206	-273.988472	0.000000
 207	-273.499308	0.000000
 208	-273.681571	0.000000
 209	-274.156198	0.000000
 210	-274.564586	0.000000
 211	-275.080069	0.000000
 212	-275.042291	0.000000
 213	-275.139835	0.000000
 214	-275.005152	0.000000
 215	-275.149285	0.000000
 216	-275.370976	0.000000
 217	-275.244911	0.000000
 218	-275.008791	0.000000
 219	-274.865791	0.000000
 220	-275.414072	0.000000
 221	-275.768789	0.000000
 222	-275.635115	0.000000
 223	-275.533940	0.000000
 224	-275.750162	0.000000
 225	-275.777709	0.000000
 226	-275.705680	0.000000
 227	-275.458881	0.000000
 228	-275.366209	0.000000
 229	-275.698939	0.000000
 230	-275.843918	0.000000
 231	-275.621685	0.000000
 232	-275.748284	0.000000
 233	-275.609255	0.000000
 234	-275.543914	0.000000
 235	-276.043947	0.000000
 236	-275.668946	0.000000
 237	-275.548514	0.000000
 238	-275.404060	0.000000
 239	-275.087940	0.000000
 240	-275.332821	0.000000
 241	-275.090201	0.000000
 242	-275.126225	0.000000
 243	-275.525474	0.000000
 244	-275.373880	0.000000
 245	-274.931069	0.000000
 246	-274.987087	0.000000
 247	-275.446714	0.000000
 248	-275.685417	0.000000
 249	-275.912662	0.000000
 250	-275.813869	0.000000
 251	-275.675483	0.000000
 252	-275.734011	0.000000
 253	-275.427326	0.000000
 254	-275.182587	0.000000
 255	-275.261781	0.000000
 256	-275.150218	0.000000
 257	-275.128098	0.000000
 258	-275.483599	0.000000
 259	-275.771329	0.000000
 260	-275.994711	0.000000
 261	-276.282432	0.000000
 262	-276.259515	0.000000
 263	-276.127635	0.000000
 264	-276.124260	0.000000
 265	-276.030960	0.000000
 266	-276.285495	0.000000
 267	-276.329912	0.000000
 268	-276.321011	0.000000
 269	-276.250983	0.000000
 270	-276.120311	0.000000
 271	-275.867845	0.000000
 272	-275.930069	0.000000
 273	-275.959336	0.000000
 274	-275.750656	0.000000
 275	-275.613309	0.000000
 276	-275.994396	0.000000
 277	-276.463511	0.000000
 278	-276.757924	0.000000
 279	-276.763209	0.000000
 280	-276.842544	0.000000
 281	-276.850006	0.000000
 282	-276.945416	0.000000
 283	-276.900422	0.000000
 284	-276.623995	0.000000
 285	-276.661198	0.000000
 286	-276.930817	0.000000
 287	-276.684098	0.000000
 288	-276.712694	0.000000
 289	-276.461242	0.000000
 290	-276.476262	0.000000
 291	-276.459397	0.000000
 292	-276.056825	0.000000
 293	-276.220244	0.000000
 294	-276.553407	0.000000
 295	-276.448275	0.000000
 296	-276.306864	0.000000
 297	-275.739223	0.000000
 298	-275.817755	0.000000
 299	-275.947917	0.000000
 300	-275.825047	0.000000
 301	-275.741272	0.000000
 302	-275.801062	0.000000
 303	-276.132222	0.000000
 304	-276.394546	0.000000
 305	-276.390301	0.000000
 306	-276.264602	0.000000
 307	-275.993875	0.000000
 308	-275.606281	0.000000
 309	-275.504126	0.000000
 310	-275.142062	0.000000
 311	-274.946434	0.000000
 312	-274.843532	0.000000
 313	-275.071205	0.000000
 314	-274.985593	0.000000
 315	-275.225837	0.000000
 316	-275.151245	0.000000
 317	-275.242872	0.000000
