#Cycle	Epot	P

 1	0.000000	0.187500
 2	0.000000	0.187500
 3	-0.007329	0.187500
 4	-0.101134	0.187497
 5	-0.353531	0.187495
 6	-0.562132	0.187490
 7	-1.104431	0.187528
 8	-1.150875	0.187489
 9	-0.421892	0.187610
 10	-0.481872	0.187592
 11	-2.839141	0.187469
 12	-3.556645	0.187470
 13	-3.952832	0.187461
 14	-4.678675	0.187451
 15	-3.707712	0.187609
 16	-3.614549	0.187543
 17	-4.654007	0.187494
 18	-6.507413	0.187561
 19	-7.822843	0.187501
 20	-4.663507	0.187534
 21	-0.872310	0.187767
 22	-5.319467	0.187682
 23	-8.569566	0.187477
 24	-6.525727	0.187485
 25	-6.325264	0.187467
 26	-4.806372	0.187522
 27	-6.542383	0.187448
 28	-6.922228	0.187536
 29	-9.843541	0.187449
 30	-9.170023	0.187434
 31	-10.005634	0.187528
 32	-10.329567	0.187507
 33	-7.268909	0.187584
 34	-5.192034	0.187652
 35	-4.189888	0.187624
 36	-6.284120	0.187494
 37	-6.895565	0.187477
 38	-5.140653	0.187680
 39	-8.628561	0.187476
 40	-8.176303	0.187455
 41	-3.543393	0.187734
 42	-2.518390	0.187779
 43	-3.873140	0.187745
 44	-5.367264	0.187668
 45	-6.383011	0.187590
 46	-6.288477	0.187570
 47	-10.524006	0.187394
 48	-1.890212	0.187914
 49	-7.207588	0.187655
 50	-12.111767	0.187458
 51	-12.909684	0.187519
 52	-8.839518	0.187767
 53	-6.062158	0.187979
 54	-13.678057	0.187490
 55	-16.237554	0.187400
 56	-14.839781	0.187404
 57	-11.407726	0.187400
 58	-12.886809	0.187399
 59	-11.541485	0.187518
 60	-9.856871	0.187460
 61	-8.483489	0.187503
 62	-9.962989	0.187430
 63	-7.711138	0.187457
 64	-6.342848	0.187546
 65	-7.677764	0.187659
 66	-8.284718	0.187643
 67	-12.745645	0.187501
 68	-11.650523	0.187452
 69	-9.132539	0.187502
 70	-11.092703	0.187505
 71	-6.120175	0.187764
 72	-6.790891	0.187790
 73	-11.571695	0.187538
 74	-8.965475	0.187650
 75	-11.244275	0.187578
 76	-11.365005	0.187528
 77	-9.202638	0.187563
 78	-11.119735	0.187498
 79	-12.261508	0.187486
 80	-11.431850	0.187486
 81	-10.203958	0.187489
 82	-9.740945	0.187433
 83	-9.367564	0.187472
 84	-8.773632	0.187594
 85	-11.913971	0.187564
 86	-12.816493	0.187437
 87	-11.569559	0.187429
 88	-9.039345	0.187593
 89	-10.980709	0.187492
 90	-12.537176	0.187427
 91	-12.775243	0.187426
 92	-9.935735	0.187622
 93	-9.685458	0.187580
 94	-10.059459	0.187414
 95	-11.824032	0.187504
 96	-14.185187	0.187479
 97	-12.837210	0.187517
 98	-12.136857	0.187545
 99	-9.199812	0.187621
 100	-9.731686	0.187526
 101	-11.023560	0.187503
 102	-7.337613	0.187595
 103	-9.720806	0.187516
 104	-12.901928	0.187397
 105	-9.728483	0.187608
 106	-9.199048	0.187626
 107	-12.144589	0.187551
 108	-12.448774	0.187592
 109	-11.080450	0.187550
 110	-12.165599	0.187471
 111	-12.203663	0.187410
 112	-10.986948	0.187353
 113	-10.003402	0.187547
 114	-9.038446	0.187657
 115	-9.018816	0.187611
 116	-8.507183	0.187664
 117	-9.092345	0.187533
 118	-10.386529	0.187403
 119	-12.741657	0.187482
 120	-12.776524	0.187654
 121	-14.227244	0.187598
 122	-13.300239	0.187503
 123	-11.978645	0.187425
 124	-11.571954	0.187422
 125	-12.156480	0.187385
 126	-11.823708	0.187381
 127	-8.841632	0.187382
 128	-10.455437	0.187412
 129	-9.728851	0.187444
 130	-8.210721	0.187542
 131	-7.641565	0.187582
 132	-11.723794	0.187459
 133	-12.891964	0.187494
 134	-12.818632	0.187486
 135	-12.747211	0.187459
 136	-12.401372	0.187518
 137	-13.673111	0.187561
 138	-13.735746	0.187510
 139	-12.093675	0.187511
 140	-11.032823	0.187665
 141	-9.020645	0.187802
 142	-11.086770	0.187594
 143	-11.299418	0.187606
 144	-11.668663	0.187596
 145	-4.977794	0.187875
 146	1.194892	0.188173
 147	-1.036545	0.187961
 148	-8.055193	0.187733
 149	-7.021762	0.187695
 150	-8.779558	0.187414
 151	-10.312874	0.187422
 152	-8.950195	0.187436
 153	-9.000206	0.187421
 154	-7.184395	0.187416
 155	-6.938070	0.187419
 156	-7.033786	0.187435
 157	-5.331644	0.187580
 158	-9.020583	0.187482
 159	-9.141169	0.187606
 160	-9.778013	0.187546
 161	-9.903592	0.187591
 162	-9.732217	0.187632
 163	-11.526484	0.187546
 164	-11.793978	0.187417
 165	-11.189883	0.187398
 166	-9.207579	0.187560
 167	-9.087351	0.187510
 168	-8.534176	0.187437
 169	-9.987283	0.187431
 170	-10.519453	0.187387
 171	-11.891514	0.187397
 172	-10.557976	0.187586
 173	-12.403079	0.187405
 174	-11.666678	0.187413
 175	-12.635790	0.187423
 176	-11.348777	0.187409
 177	-12.074264	0.187420
 178	-13.714211	0.187407
 179	-11.430280	0.187500
 180	-9.723766	0.187608
 181	-9.631915	0.187630
 182	-10.080864	0.187612
 183	-9.817673	0.187630
 184	-8.258764	0.187702
 185	-8.410643	0.187557
 186	-9.142133	0.187570
 187	-9.696668	0.187562
 188	-9.123957	0.187561
 189	-11.190622	0.187566
 190	-11.554479	0.187544
 191	-10.358160	0.187487
 192	-8.390404	0.187429
 193	-8.588160	0.187485
 194	-10.751157	0.187560
 195	-10.275572	0.187576
 196	-11.649785	0.187450
 197	-10.956560	0.187510
 198	-9.944293	0.187527
 199	-4.366497	0.187906
 200	-7.965223	0.187827
 201	-13.216393	0.187559
 202	-12.137625	0.187488
 203	-12.007869	0.187472
 204	-11.178640	0.187522
 205	-10.041953	0.187703
 206	-10.918421	0.187672
 207	-10.687856	0.187560
 208	-9.366510	0.187515
 209	-12.619680	0.187435
 210	-13.516049	0.187495
 211	-13.076531	0.187462
 212	-11.293762	0.187538
 213	-13.704162	0.187392
 214	-12.531085	0.187411
 215	-5.950987	0.187828
 216	-1.517237	0.187951
 217	-10.137105	0.187517
 218	-11.933845	0.187546
 219	-13.334136	0.187634
 220	-14.853412	0.187650
 221	-12.735562	0.187774
 222	-8.927714	0.187803
 223	-12.125056	0.187527
 224	-10.673517	0.187566
 225	-10.063889	0.187505
 226	-10.389421	0.187417
 227	-11.752572	0.187421
 228	-10.844334	0.187581
 229	-9.185596	0.187648
 230	-9.947789	0.187651
 231	-8.607455	0.187758
 232	-9.058716	0.187889
 233	-12.858885	0.187489
 234	-7.895615	0.187692
 235	-8.746988	0.187626
 236	-8.105699	0.187617
 237	-7.148504	0.187678
 238	-8.506523	0.187606
 239	-9.235384	0.187440
 240	-9.576723	0.187372
 241	-10.021148	0.187438
 242	-9.423585	0.187489
 243	-12.149650	0.187466
 244	-13.015034	0.187500
 245	-13.600053	0.187535
 246	-11.878391	0.187512
 247	-12.054553	0.187493
 248	-11.403789	0.187476
 249	-10.041492	0.187418
 250	-10.458123	0.187438
 251	-9.723069	0.187428
 252	-11.331306	0.187440
 253	-9.279659	0.187624
 254	-11.114386	0.187511
 255	-9.595630	0.187586
 256	-11.668392	0.187420
 257	-9.924685	0.187562
 258	-10.531402	0.187427
 259	-8.326037	0.187705
 260	-5.654993	0.187750
 261	-11.673322	0.187507
 262	-15.403316	0.187545
 263	-15.868998	0.187575
 264	-13.866150	0.187554
 265	-13.225577	0.187544
 266	-9.619827	0.187632
 267	-11.503311	0.187498
 268	-12.740571	0.187518
 269	-11.298814	0.187667
 270	-13.425192	0.187565
 271	-15.122824	0.187517
 272	-13.438631	0.187409
 273	-12.728716	0.187366
 274	-11.341933	0.187520
 275	-9.982974	0.187632
 276	-11.351276	0.187648
 277	-12.248892	0.187626
 278	-7.035619	0.187882
 279	-7.715461	0.187732
 280	-9.281590	0.187480
 281	-11.309356	0.187386
 282	-11.522200	0.187512
 283	-8.453248	0.187522
 284	-9.491587	0.187439
 285	-9.022467	0.187373
 286	-7.503284	0.187387
 287	-7.143026	0.187392
 288	-7.622465	0.187394
 289	-7.181260	0.187489
 290	-6.505181	0.187604
 291	-8.410390	0.187443
 292	-5.836847	0.187476
 293	-7.443866	0.187524
 294	-9.283904	0.187499
 295	-6.246830	0.187577
 296	-6.771120	0.187676
 297	-9.975721	0.187460
 298	-10.864170	0.187483
 299	-9.579432	0.187496
 300	-2.146992	0.187946
 301	-7.658471	0.187598
 302	-8.760793	0.187493
 303	-8.001345	0.187490
 304	-6.417785	0.187595
 305	-6.355180	0.187576
 306	-7.483630	0.187578
 307	-8.843923	0.187597
 308	-11.330825	0.187494
 309	-7.423347	0.187721
 310	-9.226178	0.187538
 311	-10.155441	0.187421
 312	-10.696235	0.187484
 313	-9.290931	0.187441
 314	-9.060738	0.187548
 315	-9.964486	0.187539
 316	-10.011061	0.187503
 317	-10.938656	0.187657
 318	-13.673247	0.187545
 319	-11.635436	0.187579
 320	-10.792162	0.187572
 321	-12.995207	0.187512
 322	-8.728442	0.187657
 323	-6.301178	0.187692
 324	-9.745768	0.187482
 325	-11.646345	0.187410
 326	-10.390667	0.187495
 327	-12.540406	0.187490
 328	-13.111171	0.187657
 329	-11.003611	0.187794
 330	-12.095392	0.187632
 331	-10.830857	0.187687
 332	-12.428970	0.187553
 333	-8.849855	0.187775
 334	-14.910763	0.187428
 335	-10.337846	0.187643
 336	-11.668981	0.187483
 337	-10.438082	0.187470
 338	-9.906332	0.187426
 339	-9.550380	0.187555
 340	-11.338734	0.187628
 341	-11.567452	0.187675
 342	-13.245253	0.187645
 343	-13.709500	0.187540
 344	-11.153375	0.187574
 345	-11.308092	0.187643
 346	-10.016448	0.187570
